Metric,Value,project,model,positive_days
AUC_ROC,0.4914877693,harfbuzz,Random,50
Accuracy,0.920638862,harfbuzz,Random,50
F1-Score,0.0240680169,harfbuzz,Random,50
MCC,-0.011865348,harfbuzz,Random,50
PR_AUC,0.0310663484,harfbuzz,Random,50
Precision,0.0184198344,harfbuzz,Random,50
Recall,0.0378659612,harfbuzz,Random,50
AUC_ROC,0.7597974767,harfbuzz,RandomForest,50
Accuracy,0.7451145626,harfbuzz,RandomForest,50
F1-Score,0.1316826005,harfbuzz,RandomForest,50
MCC,0.1315018924,harfbuzz,RandomForest,50
PR_AUC,0.1769978089,harfbuzz,RandomForest,50
Precision,0.0776570059,harfbuzz,RandomForest,50
Recall,0.5175925926,harfbuzz,RandomForest,50
AUC_ROC,0.7615132697,harfbuzz,XGBoost,50
Accuracy,0.7736818911,harfbuzz,XGBoost,50
F1-Score,0.1387736772,harfbuzz,XGBoost,50
MCC,0.1416040672,harfbuzz,XGBoost,50
PR_AUC,0.1848473434,harfbuzz,XGBoost,50
Precision,0.082894306,harfbuzz,XGBoost,50
Recall,0.5180687831,harfbuzz,XGBoost,50
AUC_ROC,0.5030328866,mruby,Random,36
Accuracy,0.9551891638,mruby,Random,36
F1-Score,0.0228473147,mruby,Random,36
MCC,0.0022893999,mruby,Random,36
PR_AUC,0.0319770736,mruby,Random,36
Precision,0.0213977072,mruby,Random,36
Recall,0.0298115079,mruby,Random,36
AUC_ROC,0.5993493926,mruby,RandomForest,36
Accuracy,0.6498874696,mruby,RandomForest,36
F1-Score,0.0737827148,mruby,RandomForest,36
MCC,0.0604226917,mruby,RandomForest,36
PR_AUC,0.1129316402,mruby,RandomForest,36
Precision,0.0364999674,mruby,RandomForest,36
Recall,0.4936507937,mruby,RandomForest,36
AUC_ROC,0.5440206424,mruby,XGBoost,36
Accuracy,0.7546743152,mruby,XGBoost,36
F1-Score,0.0588786938,mruby,XGBoost,36
MCC,0.0333636879,mruby,XGBoost,36
PR_AUC,0.0650909591,mruby,XGBoost,36
Precision,0.0308089744,mruby,XGBoost,36
Recall,0.2680059524,mruby,XGBoost,36
AUC_ROC,0.4968520144,serenity,Random,26
Accuracy,0.9480252101,serenity,Random,26
F1-Score,0.0235286621,serenity,Random,26
MCC,-0.0024042015,serenity,Random,26
PR_AUC,0.0331477596,serenity,Random,26
Precision,0.0151533548,serenity,Random,26
Recall,0.0379487179,serenity,Random,26
AUC_ROC,0.6478515022,serenity,RandomForest,26
Accuracy,0.7543557423,serenity,RandomForest,26
F1-Score,0.0706646964,serenity,RandomForest,26
MCC,0.0695160595,serenity,RandomForest,26
PR_AUC,0.0682561043,serenity,RandomForest,26
Precision,0.0217153486,serenity,RandomForest,26
Recall,0.5923076923,serenity,RandomForest,26
AUC_ROC,0.6335932322,serenity,XGBoost,26
Accuracy,0.7656574852,serenity,XGBoost,26
F1-Score,0.0630688699,serenity,XGBoost,26
MCC,0.0483731233,serenity,XGBoost,26
PR_AUC,0.0668561322,serenity,XGBoost,26
Precision,0.0195344263,serenity,XGBoost,26
Recall,0.5138461538,serenity,XGBoost,26
AUC_ROC,0.4991724387,c-blosc2,Random,23
Accuracy,0.8738977072,c-blosc2,Random,23
F1-Score,0.0758376253,c-blosc2,Random,23
MCC,0.007655575,c-blosc2,Random,23
PR_AUC,0.1074938272,c-blosc2,Random,23
Precision,0.0588383838,c-blosc2,Random,23
Recall,0.096,c-blosc2,Random,23
AUC_ROC,0.8432904281,c-blosc2,RandomForest,23
Accuracy,0.8016519694,c-blosc2,RandomForest,23
F1-Score,0.3553893508,c-blosc2,RandomForest,23
MCC,0.3385257316,c-blosc2,RandomForest,23
PR_AUC,0.4774085854,c-blosc2,RandomForest,23
Precision,0.1424836479,c-blosc2,RandomForest,23
Recall,0.7571111111,c-blosc2,RandomForest,23
AUC_ROC,0.8183420394,c-blosc2,XGBoost,23
Accuracy,0.848377425,c-blosc2,XGBoost,23
F1-Score,0.3494278749,c-blosc2,XGBoost,23
MCC,0.3494446237,c-blosc2,XGBoost,23
PR_AUC,0.5481625113,c-blosc2,XGBoost,23
Precision,0.1445470168,c-blosc2,XGBoost,23
Recall,0.6702222222,c-blosc2,XGBoost,23
AUC_ROC,0.5012156165,openthread,Random,22
Accuracy,0.9609424359,openthread,Random,22
F1-Score,0.0208234358,openthread,Random,22
MCC,-0.0003546446,openthread,Random,22
PR_AUC,0.0236938437,openthread,Random,22
Precision,0.0099977655,openthread,Random,22
Recall,0.0383333333,openthread,Random,22
AUC_ROC,0.5956434808,openthread,RandomForest,22
Accuracy,0.5585374335,openthread,RandomForest,22
F1-Score,0.0403450077,openthread,RandomForest,22
MCC,0.0243767464,openthread,RandomForest,22
PR_AUC,0.0522210356,openthread,RandomForest,22
Precision,0.0118536987,openthread,RandomForest,22
Recall,0.5527777778,openthread,RandomForest,22
AUC_ROC,0.6019902242,openthread,XGBoost,22
Accuracy,0.575990601,openthread,XGBoost,22
F1-Score,0.0416398344,openthread,XGBoost,22
MCC,0.02977601,openthread,XGBoost,22
PR_AUC,0.0621056393,openthread,XGBoost,22
Precision,0.012293641,openthread,XGBoost,22
Recall,0.5688888889,openthread,XGBoost,22
AUC_ROC,0.5009562402,libjxl,Random,15
Accuracy,0.9499413992,libjxl,Random,15
F1-Score,0.0350541126,libjxl,Random,15
MCC,0.0010562044,libjxl,Random,15
PR_AUC,0.0412990019,libjxl,Random,15
Precision,0.0147032575,libjxl,Random,15
Recall,0.0486111111,libjxl,Random,15
AUC_ROC,0.6772393117,libjxl,RandomForest,15
Accuracy,0.7035925994,libjxl,RandomForest,15
F1-Score,0.1055833585,libjxl,RandomForest,15
MCC,0.0995958912,libjxl,RandomForest,15
PR_AUC,0.1010464218,libjxl,RandomForest,15
Precision,0.0266242539,libjxl,RandomForest,15
Recall,0.6298611111,libjxl,RandomForest,15
AUC_ROC,0.6214893352,libjxl,XGBoost,15
Accuracy,0.7982277503,libjxl,XGBoost,15
F1-Score,0.0704970709,libjxl,XGBoost,15
MCC,0.0437753839,libjxl,XGBoost,15
PR_AUC,0.0804512428,libjxl,XGBoost,15
Precision,0.0187559075,libjxl,XGBoost,15
Recall,0.2715277778,libjxl,XGBoost,15
AUC_ROC,0.5000745735,fluent-bit,Random,14
AUC_ROC,0.4977001042,icu,Random,14
AUC_ROC,0.5015351723,libvips,Random,14
Accuracy,0.9647073461,fluent-bit,Random,14
Accuracy,0.978490991,icu,Random,14
Accuracy,0.9691245728,libvips,Random,14
F1-Score,0.0171111111,fluent-bit,Random,14
F1-Score,0.0044444444,icu,Random,14
F1-Score,0.0174873737,libvips,Random,14
MCC,-0.0004712583,fluent-bit,Random,14
MCC,-0.0045614217,icu,Random,14
MCC,0.0040378051,libvips,Random,14
PR_AUC,0.0304770905,fluent-bit,Random,14
PR_AUC,0.0377877878,icu,Random,14
PR_AUC,0.0441226452,libvips,Random,14
Precision,0.0104249668,fluent-bit,Random,14
Precision,0.0029585799,icu,Random,14
Precision,0.0139534884,libvips,Random,14
