Metric,Value,project,model,positive_days
MCC,-0.011865348,harfbuzz,Random,50
MCC,0.0920657953,harfbuzz,RandomForest,50
MCC,0.0897441454,harfbuzz,XGBoost,50
MCC,0.0022893999,mruby,Random,36
MCC,0.0527975322,mruby,RandomForest,36
MCC,0.0406848274,mruby,XGBoost,36
MCC,-0.0024042015,serenity,Random,26
MCC,-0.0102046489,serenity,RandomForest,26
MCC,-0.0053851246,serenity,XGBoost,26
MCC,0.007655575,c-blosc2,Random,23
MCC,0.2819747818,c-blosc2,RandomForest,23
MCC,0.2312101492,c-blosc2,XGBoost,23
MCC,-0.0003546446,openthread,Random,22
MCC,0.0117454988,openthread,RandomForest,22
MCC,0.0107917226,openthread,XGBoost,22
