Metric,Value,project,model,positive_days
AUC_ROC,0.4914877693,harfbuzz,Random,50
Accuracy,0.920638862,harfbuzz,Random,50
F1-Score,0.0240680169,harfbuzz,Random,50
MCC,-0.011865348,harfbuzz,Random,50
PR_AUC,0.0310663484,harfbuzz,Random,50
Precision,0.0184198344,harfbuzz,Random,50
Recall,0.0378659612,harfbuzz,Random,50
AUC_ROC,0.5030328866,mruby,Random,36
Accuracy,0.9551891638,mruby,Random,36
F1-Score,0.0228473147,mruby,Random,36
MCC,0.0022893999,mruby,Random,36
PR_AUC,0.0319770736,mruby,Random,36
Precision,0.0213977072,mruby,Random,36
Recall,0.0298115079,mruby,Random,36
AUC_ROC,0.4968520144,serenity,Random,26
Accuracy,0.9480252101,serenity,Random,26
F1-Score,0.0235286621,serenity,Random,26
MCC,-0.0024042015,serenity,Random,26
PR_AUC,0.0331477596,serenity,Random,26
Precision,0.0151533548,serenity,Random,26
Recall,0.0379487179,serenity,Random,26
AUC_ROC,0.4991724387,c-blosc2,Random,23
Accuracy,0.8738977072,c-blosc2,Random,23
F1-Score,0.0758376253,c-blosc2,Random,23
MCC,0.007655575,c-blosc2,Random,23
PR_AUC,0.1074938272,c-blosc2,Random,23
Precision,0.0588383838,c-blosc2,Random,23
Recall,0.096,c-blosc2,Random,23
AUC_ROC,0.5012156165,openthread,Random,22
Accuracy,0.9609424359,openthread,Random,22
F1-Score,0.0208234358,openthread,Random,22
MCC,-0.0003546446,openthread,Random,22
PR_AUC,0.0236938437,openthread,Random,22
Precision,0.0099977655,openthread,Random,22
Recall,0.0383333333,openthread,Random,22
AUC_ROC,0.5009562402,libjxl,Random,15
Accuracy,0.9499413992,libjxl,Random,15
F1-Score,0.0350541126,libjxl,Random,15
MCC,0.0010562044,libjxl,Random,15
PR_AUC,0.0412990019,libjxl,Random,15
Precision,0.0147032575,libjxl,Random,15
Recall,0.0486111111,libjxl,Random,15
AUC_ROC,0.5000745735,fluent-bit,Random,14
AUC_ROC,0.4977001042,icu,Random,14
AUC_ROC,0.5015351723,libvips,Random,14
Accuracy,0.9647073461,fluent-bit,Random,14
Accuracy,0.978490991,icu,Random,14
Accuracy,0.9691245728,libvips,Random,14
F1-Score,0.0171111111,fluent-bit,Random,14
F1-Score,0.0044444444,icu,Random,14
F1-Score,0.0174873737,libvips,Random,14
MCC,-0.0004712583,fluent-bit,Random,14
MCC,-0.0045614217,icu,Random,14
MCC,0.0040378051,libvips,Random,14
PR_AUC,0.0304770905,fluent-bit,Random,14
PR_AUC,0.0377877878,icu,Random,14
PR_AUC,0.0441226452,libvips,Random,14
Precision,0.0104249668,fluent-bit,Random,14
Precision,0.0029585799,icu,Random,14
Precision,0.0139534884,libvips,Random,14
Recall,0.0255555556,fluent-bit,Random,14
Recall,0.0037037037,icu,Random,14
Recall,0.0154166667,libvips,Random,14
AUC_ROC,0.498062948,clamav,Random,12
Accuracy,0.932771261,clamav,Random,12
F1-Score,0.0239047619,clamav,Random,12
MCC,-0.0059839973,clamav,Random,12
PR_AUC,0.0722306397,clamav,Random,12
Precision,0.0194174757,clamav,Random,12
Recall,0.0266666667,clamav,Random,12
